PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
-1.8351004954310677,0.6965194021865324,-0.37123768942658225,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,0.14865722932041414,0.8313467499459313,-0.6300014204292068,PC 17599,-0.09691392173966029,C85,C
-1.8270050493287153,0.6965194021865324,-0.37123768942658225,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,-0.04311122525195171,0.8313467499459313,-0.6300014204292068,113803,-0.3350778220786986,C123,S
-1.8148618801751866,-1.4278647744823914,-0.37123768942658225,"McCarthy, Mr. Timothy J",male,1.171422320373032,-0.7210660586265731,-0.6300014204292068,17463,-0.35128653153570366,E46,S
-1.7986709879704819,0.6965194021865324,3.510847862862821,"Sandstrom, Miss. Marguerite Rut",female,-2.024718589166399,0.8313467499459313,0.6951739811632628,PP 9549,-0.8118430941877764,G6,S
-1.7946232649193057,0.6965194021865324,-0.37123768942658225,"Bonnell, Miss. Elizabeth",female,1.4271135931361865,-0.7210660586265731,-0.6300014204292068,113783,-0.6828283158835342,C103,S
-1.7541460344075435,0.6965194021865324,1.5698050867181192,"Beesley, Mr. Lawrence",male,-0.10703404344274033,-0.7210660586265731,-0.6300014204292068,248698,-0.860305498220842,D56,S
-1.746050588305191,0.6965194021865324,-0.37123768942658225,"Sloper, Mr. William Thompson",male,-0.490570952587472,-0.7210660586265731,-0.6300014204292068,113788,-0.5656016899116593,A6,S
-1.7298596961004862,-1.4278647744823914,-0.37123768942658225,"Fortune, Mr. Charles Alexander",male,-1.0658763163045695,3.9361723670909403,2.020349382755733,19950,2.414181260770077,C23 C25 C27,S
-1.628666619821081,0.6965194021865324,-0.37123768942658225,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,0.851808229419089,0.8313467499459313,-0.6300014204292068,PC 17572,-0.02558381197650559,D33,C
-1.6205711737187285,-1.4278647744823914,-0.37123768942658225,"Ostby, Mr. Engelhart Cornelius",male,1.8745733204717068,-0.7210660586265731,0.6951739811632628,113509,-0.21877853075696993,B30,C
-1.5881893893093189,-1.4278647744823914,-0.37123768942658225,"Harris, Mr. Henry Birkhardt",male,0.5961169566559344,0.8313467499459313,-0.6300014204292068,36973,0.06277231913869803,C83,S
-1.5719984971046141,0.6965194021865324,1.5698050867181192,"Nye, Mrs. (Elizabeth Ramell)",female,-0.4266481343966834,-0.7210660586265731,-0.6300014204292068,C.A. 29395,-0.8930503658107513,F33,S
-1.535568989644028,-1.4278647744823914,3.510847862862821,"Moen, Mr. Sigurd Hansen",male,-0.6823394071598379,-0.7210660586265731,-0.6300014204292068,348123,-0.9303795148632477,F G73,S
-1.4829485899787376,0.6965194021865324,-0.37123768942658225,"Fortune, Miss. Mabel Helen",female,-0.8101850435414151,3.9361723670909403,2.020349382755733,19950,2.414181260770077,C23 C25 C27,S
-1.4667576977740326,-1.4278647744823914,-0.37123768942658225,"Chaffee, Mr. Herbert Fuller",male,0.660039774846723,0.8313467499459313,-0.6300014204292068,W.E.P. 5734,-0.22931189976329194,E31,S
